date,pollution_today,dew,temp,press,wnd_spd,snow,rain,pollution_yesterday
1/2/2010,145.9583333,-8.5,-5.125,1024.75,24.86,0.708333333,0,10.04166667
1/3/2010,78.83333333,-10.125,-8.541666667,1022.791667,70.93791667,14.16666667,0,145.9583333
1/4/2010,31.33333333,-20.875,-11.5,1029.291667,111.1608333,0,0,78.83333333
1/5/2010,42.45833333,-24.58333333,-14.45833333,1033.625,56.92,0,0,31.33333333
1/6/2010,56.41666667,-23.70833333,-12.54166667,1033.75,18.51166667,0,0,42.45833333
1/7/2010,69,-21.25,-12.5,1034.083333,10.17,0,0,56.41666667
1/8/2010,176.2083333,-17.125,-11.70833333,1028,1.972916667,0,0,69
1/9/2010,88.5,-16.33333333,-9.125,1029.041667,13.29875,0,0,176.2083333
1/10/2010,57.25,-15.95833333,-8.75,1032.5,17.41583333,0,0,88.5
1/11/2010,20,-20.70833333,-8.708333333,1034.333333,41.68583333,0,0,57.25
1/12/2010,20.75,-23.54166667,-12.41666667,1030.708333,60.37833333,0,0,20
1/13/2010,40.20833333,-21.95833333,-10,1030.458333,169.7541667,0,0,20.75
1/14/2010,93.70833333,-17.625,-9.5,1025.208333,13.23875,0,0,40.20833333
1/15/2010,45.45833333,-17.16666667,-7.041666667,1036.833333,12.38166667,0,0,93.70833333
1/16/2010,177.625,-13.5,-8.416666667,1033.041667,2.677916667,0,0,45.45833333
1/17/2010,209.2083333,-12.08333333,-7.25,1028.833333,4.134583333,0,0,177.625
1/18/2010,260.2083333,-9.666666667,-4.916666667,1026.75,4.91625,0,0,209.2083333
1/19/2010,340.75,-3.791666667,0.291666667,1020.666667,4.788333333,0,0,260.2083333
1/20/2010,85.33333333,-11.04166667,-1.166666667,1030.208333,34.48125,0,0,340.75
1/21/2010,27.04166667,-21.16666667,-6.125,1036.375,59.07083333,0,0,85.33333333
1/22/2010,29.41666667,-18.79166667,-4.583333333,1034.375,93.06208333,0,0,27.04166667
1/23/2010,23.96568627,-17.70833333,-1.916666667,1028,43.89208333,0,0,29.41666667
1/24/2010,40.92647059,-17.25,-3.416666667,1021.416667,31.69583333,0,0,23.96568627
1/25/2010,64.22058824,-21.875,-3.041666667,1032.5,146.2020833,0,0,40.92647059
1/26/2010,138.6372549,-15.375,-5.666666667,1024.708333,3.146666667,0,0,64.22058824
1/27/2010,122.3333333,-11.70833333,1.125,1016.208333,24.70708333,0,0,138.6372549
1/28/2010,21.16666667,-19.125,-1.208333333,1026.166667,41.2725,0,0,122.3333333
1/29/2010,23.875,-21.625,0.625,1022.833333,44.32833333,0,0,21.16666667
1/30/2010,44.29166667,-18.70833333,1.958333333,1019.541667,40.01583333,0,0,23.875
1/31/2010,39.25,-15.79166667,1.333333333,1024.208333,62.51041667,0,0,44.29166667
2/1/2010,64.79166667,-10.08333333,-2.875,1026.75,13.03791667,0,0,39.25
2/2/2010,65.625,-16.29166667,-5.416666667,1028.291667,5.959583333,0,0,64.79166667
2/3/2010,77.54166667,-19.95833333,-5.166666667,1028.5,14.9175,0,0,65.625
2/4/2010,58.5,-20.5,-5.041666667,1026.791667,5.60625,0,0,77.54166667
2/5/2010,78.45833333,-14.33333333,-4.083333333,1029.833333,4.731666667,0,0,58.5
2/6/2010,76.125,-10.45833333,-5,1030.541667,22.81875,0.666666667,0,78.45833333
2/7/2010,109.1666667,-6.5,-4.333333333,1022.666667,5.770833333,1.708333333,0,76.125
2/8/2010,178.0833333,-5.25,-1.541666667,1019.208333,3.257916667,0,0,109.1666667
2/9/2010,157.25,-9.833333333,0.041666667,1023.791667,3.295416667,0,0,178.0833333
2/10/2010,12.41666667,-22.29166667,-1.583333333,1030.958333,40.35833333,0,0,157.25
2/11/2010,14.33333333,-22.125,-3.666666667,1035.708333,27.06041667,0,0,12.41666667
2/12/2010,23.08333333,-21.54166667,-5.208333333,1034.916667,6.852916667,0,0,14.33333333
2/13/2010,78.08333333,-17.83333333,-4.583333333,1028.791667,8.958333333,0,0,23.08333333
2/14/2010,131.9791667,-20,-4.208333333,1032.541667,9.107916667,0,0,78.08333333
2/15/2010,30,-22.29166667,-5.541666667,1035.125,5.977083333,0,0,131.9791667
2/16/2010,93.58333333,-16.95833333,-5.375,1030.208333,7.5025,0,0,30
2/17/2010,67.29166667,-19.08333333,-2.291666667,1026.25,43.6575,0,0,93.58333333
2/18/2010,79.66666667,-19,-2.041666667,1023.708333,4.61625,0,0,67.29166667
2/19/2010,112.9583333,-15.58333333,0.083333333,1016.625,3.7375,0,0,79.66666667
2/20/2010,178.5,-10.29166667,0.875,1012.708333,3.64875,0,0,112.9583333
2/21/2010,125.75,-9.708333333,4.208333333,1013.291667,14.58541667,0,0,178.5
2/22/2010,94.5,-7.791666667,0.083333333,1018.583333,20.10125,0,0,125.75
2/23/2010,166.5,-6.541666667,0.083333333,1007.333333,1.655416667,0,0,94.5
2/24/2010,277.7083333,-2.5,4.375,1004.208333,9.555,0,0,166.5
2/25/2010,169.625,-1.333333333,3.916666667,1015.625,21.90333333,0,0,277.7083333
2/26/2010,69.875,-6.791666667,1.833333333,1020.875,35.40375,0,0,169.625
2/27/2010,76.41666667,-6.375,-1.25,1019.5,18.31708333,0.458333333,0,69.875
2/28/2010,83.58333333,-7.125,-0.125,1022.416667,14.67541667,0.875,0,76.41666667
3/1/2010,57.91666667,-5.041666667,-2.541666667,1022.833333,42.0125,1.208333333,0,83.58333333
3/2/2010,90.08333333,-8.458333333,1.625,1021.166667,23.54875,0,0,57.91666667
3/3/2010,157.875,-6.208333333,1.666666667,1022.875,7.114583333,0,0,90.08333333
3/4/2010,186.0833333,-3.458333333,2.416666667,1015.5,7.937083333,0,0.041666667,157.875
3/5/2010,31.33333333,-20.33333333,0.541666667,1026.958333,50.30583333,0,0,186.0833333
3/6/2010,50.04166667,-17.33333333,-2,1033.666667,31.55333333,0,0,31.33333333
3/7/2010,87.25,-10.25,-2.458333333,1035.25,11.64333333,0.041666667,0,50.04166667
3/8/2010,48.33333333,-6.875,-3.333333333,1039.5,14.1075,2.75,0,87.25
